relation	node1	node2	confidence
Class	アイスクリーム	乳類/牛乳及び乳製品	1.0
Flavor	アイスクリーム	乳製品	0.7
Flavor	あかうお	マリーン	1.0
Class	あかうお	魚介類/魚類	1.0
Class	あさり	魚介類/貝類	1.0
Taste	あさり	中間	0.5
Taste	あさり	うま味/グルタミン酸	1.0
Class	アスパラガス	野菜類	1.0
Flavor	アスパラガス	ベジタル/土	1.0
Taste	アスパラガス	うま味/グルタミン酸	1.0
Flavor	アナゴ	マリーン	1.0
Class	アナゴ	魚介類/魚類	1.0
Class	アボカド	果実類	1.0
Flavor	アボカド	ベジタル/フルーツ	1.0
Flavor	アユ	マリーン	1.0
Class	アユ	魚介類/魚類	1.0
Class	アロエ	野菜類	1.0
Class	アワビ	魚介類/貝類	1.0
Flavor	あんこう	マリーン	1.0
Class	あんこう	魚介類/魚類	1.0
Taste	あんこう	中間	0.5
Class	あんず	果実類	1.0
Taste	あんず	淡い	0.5
Flavor	あんず	フルーティ/木に実る果実	1.0
Class	イースト	調味料及び香辛料類/その他	1.0
Class	イカ	魚介類/いか・たこ類	1.0
Flavor	イカ	マリーン	1.0
Flavor	イカナゴ	マリーン	1.0
Class	イカナゴ	魚介類/魚類	1.0
Class	イチゴ	果実類	1.0
Flavor	イチゴ	フルーティ/ベリー	1.0
Flavor	イワシ	マリーン	1.0
Class	イワシ	魚介類/魚類	1.0
Taste	イワシ	うま味/イノシン酸	1.0
Taste	イワシ	うま味/グルタミン酸	1.0
Class	インゲン豆	豆類	1.0
Class	ウインナー	肉類/畜肉類	1.0
Class	ウスターソース	調味料及び香辛料類/調味料類	1.0
Class	ウド	野菜類	1.0
Class	うどん	穀類	1.0
Taste	うどん	淡い	0.5
Flavor	ウナギ	マリーン	1.0
Class	ウナギ	魚介類/魚類	1.0
Class	ウニ	魚介類/その他	1.0
Taste	ウニ	うま味/グルタミン酸	1.0
Class	うり	野菜類	1.0
Taste	うり	淡い	1.0
Taste	うり	草様・青臭	0.5
Class	えのき	きのこ類	1.0
Taste	えのき	淡い	0.5
Taste	えのき	うま味/グルタミン酸	1.0
Flavor	えのき	ベジタル/土	1.0
Class	エビ	魚介類/えび・かに類	1.0
Flavor	エビ	マリーン	1.0
Taste	エビ	うま味/グルタミン酸	0.7
Taste	エビ	うま味/イノシン酸	0.7
Class	エリンギ	きのこ類	1.0
Flavor	エリンギ	ベジタル/土	1.0
Class	えんどう豆	野菜類	1.0
Taste	えんどう豆	中間	0.5
Flavor	えんどう豆	ベジタル/グリーン	1.0
Class	オイスターソース	調味料及び香辛料類/調味料類	1.0
Taste	オイスターソース	うま味/グルタミン酸	1.0
Class	おから	豆類	1.0
Taste	おから	淡い	1.0
Class	オクラ	野菜類	1.0
Flavor	オクラ	ベジタル/グリーン	1.0
Class	オレガノ	野菜類	0.5
Class	ガーリック	野菜類	1.0
Class	カキ	魚介類/貝類	1.0
Flavor	カキ	マリーン	1.0
Taste	カキ	うま味/グルタミン酸	1.0
Taste	カキ	うま味/イノシン酸	1.0
Flavor	かじき	マリーン	1.0
Class	かじき	魚介類/魚類	1.0
Taste	かじき	中間	0.5
Class	カステラ	菓子類	1.0
Class	かつお節	魚介類/魚類	1.0
Taste	かつお節	うま味/イノシン酸	1.0
Taste	かつお節	うま味/グルタミン酸	1.0
Taste	かつお節	淡い	0.5
Class	かに	魚介類/えび・かに類	1.0
Taste	かに	中間	1.0
Flavor	かに	マリーン	1.0
Class	かぶ	野菜類	1.0
Taste	かぶ	淡い	1.0
Flavor	かぶ	刺激	1.0
Class	カボチャ	種実類	1.0
Flavor	カボチャ	ベジタル/フルーツ	1.0
Class	カラメル	砂糖及び甘味類	0.5
Flavor	カラメル	メイラード	1.0
Class	カリフラワー	野菜類	1.0
Flavor	カリフラワー	ベジタル/グリーン	1.0
Flavor	カレイ	マリーン	1.0
Class	カレイ	魚介類/魚類	1.0
Class	カレー粉	調味料及び香辛料類/香辛料類	1.0
Flavor	カレー粉	テルペン/スパイス	1.0
Class	かんぴょう	野菜類	1.0
Taste	かんぴょう	淡い	1.0
Class	キウイ	果実類	1.0
Flavor	キウイ	フルーティ/トロピカル	1.0
Class	きくらげ	きのこ類	1.0
Taste	きくらげ	淡い	1.0
Flavor	きくらげ	ベジタル/土	1.0
Flavor	きす	マリーン	1.0
Class	きす	魚介類/魚類	1.0
Taste	きす	淡い	1.0
Class	きな粉	豆類	1.0
Taste	きな粉	中間	0.5
Class	キムチ	野菜類	0.5
Taste	キムチ	うま味/グルタミン酸	1.0
Class	キャベツ	野菜類	1.0
Flavor	キャベツ	硫黄	1.0
Taste	キャベツ	うま味/グルタミン酸	1.0
Class	キュウリ	野菜類	1.0
Flavor	キュウリ	ベジタル/グリーン	1.0
Class	きんかん	果実類	1.0
Taste	きんかん	淡い	1.0
Flavor	きんかん	フルーティ/シトラス	1.0
Class	きんときまめ	豆類	1.0
Taste	きんときまめ	淡い	1.0
Flavor	きんめだい	マリーン	1.0
Class	きんめだい	魚介類/魚類	1.0
Taste	きんめだい	中間	1.0
Class	くうしんさい	野菜類	1.0
Taste	くうしんさい	淡い	1.0
Flavor	くうしんさい	ベジタル/グリーン	0.5
Class	クラゲ	魚介類/その他	1.0
Class	クリ	種実類	1.0
Class	クリームシチューの素	調味料及び香辛料類/その他	0.5
Class	グレープフルーツ	果実類	1.0
Flavor	グレープフルーツ	フルーティ/シトラス	1.0
Class	クレソン	野菜類	1.0
Class	くわい	野菜類	1.0
Class	ケチャップ	調味料及び香辛料類/調味料類	1.0
Flavor	コーヒー豆	メイラード/ロースト	1.0
Class	コーヒー豆	嗜好飲料類/コーヒー・ココア類	1.0
Class	ゴーヤ	野菜類	1.0
Class	ココア	嗜好飲料類/コーヒー・ココア類	1.0
Flavor	ココア	メイラード/チョコレート	1.0
Class	コショウ	調味料及び香辛料類/香辛料類	1.0
Flavor	コノシロ	マリーン	1.0
Class	コノシロ	魚介類/魚類	1.0
Class	ゴボウ	野菜類	1.0
Flavor	ゴボウ	ベジタル/土	0.7
Taste	ゴボウ	うま味/グルタミン酸	1.0
Class	ごま	種実類	1.0
Taste	ごま	中間	0.5
Flavor	ごま	メイラード/ナッツ	1.0
Class	こんにゃく	いも及びでん粉類/いも類	1.0
Taste	こんにゃく	中間	0.5
Flavor	こんにゃく	ベジタル/土	0.5
Class	サクランボ	果実類	1.0
Flavor	サクランボ	フルーティ/木に実る果実	1.0
Class	ザクロ	果実類	1.0
Flavor	ザクロ	フルーティ/ベリー	1.0
Flavor	サケ	マリーン	1.0
Class	サケ	魚介類/魚類	1.0
Class	サザエ	魚介類/貝類	1.0
Class	ささげ	豆類	1.0
Class	さつまいも	いも及びでん粉類/いも類	1.0
Taste	さつまいも	中間	1.0
Taste	さつまいも	うま味/グルタミン酸	1.0
Flavor	さつまいも	ベジタル/土	1.0
Flavor	サバ	マリーン	1.0
Class	サバ	魚介類/魚類	1.0
Taste	サバ	うま味/グルタミン酸	1.0
Taste	サバ	うま味/イノシン酸	1.0
Flavor	サメ	マリーン	1.0
Class	サメ	魚介類/魚類	1.0
Class	さやえんどう	野菜類	1.0
Taste	さやえんどう	淡い	1.0
Flavor	さやえんどう	ベジタル/グリーン	0.5
Class	サルサソース	調味料及び香辛料類/調味料類	0.5
Class	しじみ	魚介類/貝類	1.0
Taste	しじみ	淡い	0.5
Flavor	ししゃも	マリーン	1.0
Class	ししゃも	魚介類/魚類	1.0
Taste	ししゃも	中間	0.5
Class	シソ	野菜類	1.0
Class	シナモン	調味料及び香辛料類/香辛料類	1.0
Flavor	シナモン	テルペン/スパイス	1.0
Class	しめじ	きのこ類	1.0
Taste	しめじ	淡い	0.5
Taste	しめじ	うま味/グルタミン酸	1.0
Flavor	しめじ	ベジタル/土	1.0
Class	ジャガイモ	いも及びでん粉類/いも類	1.0
Flavor	ジャガイモ	ベジタル/土	1.0
Taste	ジャガイモ	うま味/グルタミン酸	1.0
Class	ジャム	果実類	1.0
Flavor	しらす	マリーン	1.0
Class	しらす	魚介類/魚類	1.0
Taste	しらす	中間	0.5
Taste	しらす	うま味/イノシン酸	1.0
Taste	しらす	うま味/グルタミン酸	1.0
Class	シリアル	穀類	0.5
Flavor	シリアル	穀物	1.0
Class	スイカ	果実類	1.0
Class	すし酢	調味料及び香辛料類/調味料類	1.0
Taste	すし酢	酸味	1.0
Taste	すし酢	淡い	1.0
Class	すだち	果実類	1.0
Taste	すだち	淡い	1.0
Taste	すだち	酸味	0.5
Flavor	すだち	フルーティ/シトラス	1.0
Class	ズッキーニ	野菜類	1.0
Flavor	ズッキーニ	ベジタル/グリーン	1.0
Class	スナップえんどう	野菜類	1.0
Class	スプラウト	野菜類	1.0
Class	ゼラチン	肉類/畜肉類	0.5
Class	せり	野菜類	1.0
Taste	せり	淡い	1.0
Flavor	せり	ベジタル/グリーン	0.5
Class	セロリ	野菜類	1.0
Flavor	セロリ	ベジタル/グリーン	1.0
Taste	セロリ	うま味/グルタミン酸	1.0
Class	ぜんまい	野菜類	1.0
Taste	ぜんまい	淡い	1.0
Flavor	ぜんまい	ベジタル/グリーン	0.5
Class	そうめん	穀類	1.0
Taste	そうめん	淡い	0.5
Class	そば	穀類	1.0
Taste	そば	淡い	0.5
Flavor	そば	ベジタル/土	1.0
Class	そら豆	野菜類	1.0
Taste	そら豆	淡い	1.0
Flavor	そら豆	ベジタル/グリーン	0.5
Taste	そら豆	うま味/グルタミン酸	1.0
Flavor	タイ	マリーン	1.0
Class	タイ	魚介類/魚類	1.0
Taste	タイ	うま味/イノシン酸	1.0
Taste	タイ	うま味/グルタミン酸	1.0
Class	タケノコ	野菜類	1.0
Flavor	タケノコ	ベジタル/土	0.5
Taste	タケノコ	うま味/グルタミン酸	1.0
Class	タコ	魚介類/いか・たこ類	1.0
Taste	タコ	うま味/グルタミン酸	1.0
Class	だし	調味料及び香辛料類/調味料類	1.0
Flavor	タチウオ	マリーン	1.0
Class	タチウオ	魚介類/魚類	1.0
Class	タレ	調味料及び香辛料類/調味料類	0.5
Class	チーズ	乳類/牛乳及び乳製品	1.0
Taste	チーズ	うま味/グルタミン酸	0.5
Class	チョコレート	菓子類	1.0
Class	ちらし寿司の素	調味料及び香辛料類/調味料類	0.5
Class	チンゲン菜	野菜類	1.0
Class	つぶ貝	魚介類/貝類	1.0
Taste	つぶ貝	中間	1.0
Class	ツルムラサキ	野菜類	1.0
Class	デコポン	果実類	1.0
Class	とうみょう	野菜類	1.0
Taste	とうみょう	淡い	1.0
Flavor	とうみょう	ベジタル/グリーン	0.5
Class	トウモロコシ	穀類	1.0
Flavor	トウモロコシ	ベジタル/フルーツ	1.0
Taste	トウモロコシ	うま味/グルタミン酸	1.0
Flavor	トビウオ	マリーン	1.0
Class	トビウオ	魚介類/魚類	1.0
Class	トマト	野菜類	1.0
Flavor	トマト	ベジタル/フルーツ	1.0
Taste	トマト	うま味/グルタミン酸	1.0
Class	トマトジュース	野菜類	1.0
Class	ナスビ	野菜類	1.0
Flavor	ナスビ	ベジタル/フルーツ	1.0
Class	ナツメグ	調味料及び香辛料類/香辛料類	1.0
Class	なまこ	魚介類/その他	1.0
Taste	なまこ	淡い	0.5
Flavor	ナマズ	マリーン	1.0
Class	ナマズ	魚介類/魚類	1.0
Class	なめこ	きのこ類	1.0
Taste	なめこ	淡い	1.0
Flavor	なめこ	ベジタル/土	1.0
Flavor	ニシン	マリーン	1.0
Class	ニシン	魚介類/魚類	1.0
Class	ニラ	野菜類	1.0
Class	ニンジン	野菜類	1.0
Flavor	ニンジン	ベジタル/土	1.0
Taste	ニンジン	うま味/グルタミン酸	1.0
Class	ネギ	野菜類	1.0
Flavor	ネギ	硫黄	1.0
Taste	ネギ	うま味/グルタミン酸	1.0
Class	パイナップル	果実類	1.0
Flavor	パイナップル	フルーティ/トロピカル	1.0
Class	パスタ麺	穀類	1.0
Flavor	ハゼ	マリーン	1.0
Class	ハゼ	魚介類/魚類	1.0
Class	パセリ	野菜類	1.0
Flavor	パセリ	ベジタル/ハーブ	1.0
Flavor	ハタハタ	マリーン	1.0
Class	ハタハタ	魚介類/魚類	1.0
Class	はっさく	果実類	1.0
Taste	はっさく	淡い	0.5
Taste	はっさく	酸味	1.0
Flavor	はっさく	フルーティ/シトラス	1.0
Class	バナナ	果実類	1.0
Flavor	バナナ	フルーティ/トロピカル	1.0
Class	バニラ	調味料及び香辛料類/調味料類	0.5
Flavor	バニラ	テルペン/スモーク	1.0
Class	パパイヤ	果実類	1.0
Class	はまぐり	魚介類/貝類	1.0
Taste	はまぐり	中間	1.0
Taste	はまぐり	うま味/グルタミン酸	1.0
Class	ハム	肉類/畜肉類	1.0
Flavor	ハモ	マリーン	1.0
Class	ハモ	魚介類/魚類	1.0
Class	パン	穀類	1.0
Class	パン粉	穀類	1.0
Class	ピーマン	野菜類	1.0
Class	ひじき	藻類	1.0
Taste	ひじき	淡い	0.5
Class	ひよこ豆	豆類	1.0
Flavor	ヒラメ	マリーン	1.0
Class	ヒラメ	魚介類/魚類	1.0
Class	ビワ	果実類	1.0
Class	ブイヨン	調味料及び香辛料類/調味料類	1.0
Class	ふき	野菜類	1.0
Flavor	フグ	マリーン	1.0
Class	フグ	魚介類/魚類	1.0
Flavor	フナ	マリーン	1.0
Class	フナ	魚介類/魚類	1.0
Flavor	ブリ	マリーン	1.0
Class	ブリ	魚介類/魚類	1.0
Class	ブルーベリー	果実類	1.0
Flavor	ブルーベリー	フルーティ/ベリー	1.0
Class	プルーン	果実類	1.0
Class	ほうれん草	野菜類	1.0
Taste	ほうれん草	うま味/グルタミン酸	1.0
Class	ほっき貝	魚介類/貝類	1.0
Flavor	ほっけ	マリーン	1.0
Class	ほっけ	魚介類/魚類	1.0
Class	ホットケーキミックス	菓子類	1.0
Class	ホヤ	魚介類/その他	1.0
Flavor	ボラ	マリーン	1.0
Class	ボラ	魚介類/魚類	1.0
Class	ポルチーニ	きのこ類	1.0
Flavor	ポルチーニ	ベジタル/土	1.0
Class	ポン酢	調味料及び香辛料類/調味料類	1.0
Class	まいたけ	きのこ類	1.0
Flavor	まいたけ	ベジタル/土	1.0
Flavor	マグロ	マリーン	1.0
Class	マグロ	魚介類/魚類	1.0
Taste	マグロ	うま味/イノシン酸	1.0
Taste	マグロ	うま味/グルタミン酸	1.0
Class	マシュマロ	菓子類	1.0
Class	マスタード	調味料及び香辛料類/香辛料類	1.0
Flavor	マツカサウオ	マリーン	1.0
Class	マツカサウオ	魚介類/魚類	1.0
Class	マッシュルーム	きのこ類	1.0
Flavor	マッシュルーム	ベジタル/土	1.0
Taste	マッシュルーム	うま味/グルタミン酸	1.0
Class	まつたけ	きのこ類	1.0
Flavor	まつたけ	ベジタル/土	1.0
Class	マヨネーズ	調味料及び香辛料類/調味料類	1.0
Class	マンゴー	果実類	1.0
Flavor	マンゴー	フルーティ/トロピカル	1.0
Class	ミカン	果実類	1.0
Flavor	ミカン	フルーティ/シトラス	1.0
Class	ミックスビーンズ	豆類	1.0
Class	ミックスベジタブル	野菜類	1.0
Class	ミツバ	野菜類	1.0
Class	みりん	調味料及び香辛料類/調味料類	0.7
Class	ムール貝	魚介類/貝類	1.0
Flavor	ムール貝	マリーン	1.0
Taste	ムール貝	うま味/グルタミン酸	1.0
Class	むかご	野菜類	1.0
Class	ムギ	穀類	1.0
Flavor	メジナ	マリーン	1.0
Class	メジナ	魚介類/魚類	1.0
Flavor	めばる	マリーン	1.0
Class	めばる	魚介類/魚類	1.0
Class	メロン	果実類	1.0
Class	めんつゆ	調味料及び香辛料類/調味料類	1.0
Class	もずく	藻類	1.0
Class	もやし	野菜類	1.0
Class	モロヘイヤ	野菜類	1.0
Class	ヤーコン	野菜類	1.0
Flavor	ヤマメ	マリーン	1.0
Class	ヤマメ	魚介類/魚類	1.0
Class	ゆず	果実類	1.0
Flavor	ゆず	フルーティ/シトラス	1.0
Class	ユリ根	野菜類	0.5
Class	ヨーグルト	乳類/牛乳及び乳製品	1.0
Flavor	ヨーグルト	乳製品	1.0
Class	ヨモギ	野菜類	1.0
Class	ラー油	調味料及び香辛料類/調味料類	1.0
Class	らっきょう	野菜類	1.0
Class	ラディッシュ	野菜類	1.0
Flavor	ラディッシュ	刺激	1.0
Class	ラム酒	嗜好飲料類/アルコール飲料類	1.0
Class	リンゴ	果実類	1.0
Flavor	リンゴ	フルーティ/木に実る果実	1.0
Class	レーズン	果実類	1.0
Class	レタス	野菜類	1.0
Flavor	レタス	ベジタル/グリーン	1.0
Class	レモン	果実類	1.0
Flavor	レモン	フルーティ/シトラス	1.0
Class	レモン汁	果実類	1.0
Flavor	レモン汁	フルーティ/シトラス	1.0
Class	れんこん	野菜類	1.0
Taste	れんこん	うま味/グルタミン酸	1.0
Class	レンズ豆	豆類	1.0
Class	ローリエ	野菜類	0.5
Class	ワイン	嗜好飲料類/アルコール飲料類	1.0
Flavor	ワカサギ	マリーン	1.0
Class	ワカサギ	魚介類/魚類	1.0
Class	ワカメ	藻類	1.0
Taste	ワカメ	うま味/グルタミン酸	1.0
Class	ワサビ	調味料及び香辛料類/香辛料類	1.0
Class	わさび菜	野菜類	1.0
Flavor	鯵	マリーン	1.0
Class	鯵	魚介類/魚類	1.0
Taste	鯵	うま味/グルタミン酸	1.0
Taste	鯵	うま味/イノシン酸	1.0
Class	塩麹	調味料及び香辛料類/調味料類	0.5
Flavor	花椒	テルペン/スパイス	1.0
Class	花椒	調味料及び香辛料類/香辛料類	0.7
Class	海苔	藻類	1.0
Taste	海苔	うま味/グルタミン酸	1.0
Taste	海苔	うま味/イノシン酸	1.0
Taste	海苔	うま味/グアニル酸	1.0
Class	芥子	調味料及び香辛料類/香辛料類	0.5
Class	柿	果実類	1.0
Flavor	柿	フルーティ/木に実る果実	1.0
Flavor	鰹	マリーン	1.0
Class	鰹	魚介類/魚類	1.0
Taste	鰹	うま味/グルタミン酸	1.0
Taste	鰹	うま味/イノシン酸	1.0
Class	牛肉	肉類/畜肉類	1.0
Flavor	牛肉	メイラード/肉	1.0
Taste	牛肉	うま味/イノシン酸	1.0
Taste	牛肉	うま味/グルタミン酸	1.0
Class	牛乳	乳類/牛乳及び乳製品	1.0
Flavor	牛乳	乳製品	1.0
Class	魚肉練り製品	魚介類/水産練り製品	1.0
Class	玉葱	野菜類	1.0
Taste	玉葱	うま味/グルタミン酸	1.0
Class	鶏がらスープの素	調味料及び香辛料類/調味料類	1.0
Flavor	鯉	マリーン	1.0
Class	鯉	魚介類/魚類	1.0
Class	紅生姜	野菜類	1.0
Class	紅茶	嗜好飲料類/茶類	1.0
Flavor	紅茶	フェノール	1.0
Class	高菜	野菜類	1.0
Class	高野豆腐	豆類	1.0
Class	昆布	藻類	1.0
Taste	昆布	うま味/グルタミン酸	1.0
Class	砂糖	砂糖及び甘味類	1.0
Class	菜の花	野菜類	0.5
Class	山芋	いも及びでん粉類/いも類	1.0
Class	山椒	調味料及び香辛料類/香辛料類	0.5
Class	枝豆	豆類	1.0
Class	酒	調味料及び香辛料類/調味料類	1.0
Flavor	秋刀魚	マリーン	1.0
Class	秋刀魚	魚介類/魚類	1.0
Class	春雨	いも及びでん粉類/でん粉・でん粉製品	1.0
Class	春菊	野菜類	1.0
Taste	春菊	うま味/グルタミン酸	1.0
Class	小松菜	野菜類	1.0
Class	小豆	豆類	1.0
Class	小麦粉	穀類	1.0
Taste	醤油	うま味/グルタミン酸	1.0
Class	醤油	調味料及び香辛料類/調味料類	1.0
Class	食塩	調味料及び香辛料類/調味料類	1.0
Class	酢	調味料及び香辛料類/調味料類	1.0
Class	水菜	野菜類	1.0
Class	生クリーム	乳類/牛乳及び乳製品	1.0
Flavor	生クリーム	乳製品	1.0
Class	生姜	野菜類	1.0
Flavor	生姜	テルペン/ウッド	1.0
Taste	生姜	うま味/グルタミン酸	1.0
Class	大根	野菜類	1.0
Taste	大根	うま味/グルタミン酸	1.0
Class	大豆	豆類	1.0
Taste	大豆	うま味/グルタミン酸	1.0
Flavor	鱈	マリーン	1.0
Class	鱈	魚介類/魚類	1.0
Taste	鱈	うま味/グルタミン酸	1.0
Taste	鱈	うま味/イノシン酸	1.0
Class	中華麺	穀類	1.0
Class	鳥肉	肉類/鳥肉類	1.0
Flavor	鳥肉	メイラード/肉	1.0
Taste	鳥肉	うま味/グルタミン酸	1.0
Taste	鳥肉	うま味/イノシン酸	1.0
Class	椎茸	きのこ類	1.0
Flavor	椎茸	ベジタル/土	1.0
Taste	椎茸	うま味/グルタミン酸	1.0
Class	澱粉	いも及びでん粉類/でん粉・でん粉製品	1.0
Class	唐辛子	調味料及び香辛料類/香辛料類	1.0
Flavor	唐辛子	ベジタル/フルーツ	1.0
Class	桃	果実類	1.0
Flavor	桃	フルーティ/木に実る果実	1.0
Class	豆腐	豆類	1.0
Class	豚肉	肉類/畜肉類	1.0
Flavor	豚肉	メイラード/肉	1.0
Taste	豚肉	うま味/グルタミン酸	1.0
Taste	豚肉	うま味/イノシン酸	1.0
Class	納豆	豆類	1.0
Taste	納豆	うま味/グルタミン酸	1.0
Class	梅	果実類	1.0
Class	白菜	野菜類	1.0
Taste	白菜	うま味/グルタミン酸	1.0
Class	八角	調味料及び香辛料類/香辛料類	0.5
Flavor	八角	テルペン/スパイス	1.0
Class	帆立貝	魚介類/貝類	1.0
Taste	帆立貝	うま味/グルタミン酸	1.0
Class	挽肉	肉類/畜肉類	1.0
Flavor	挽肉	メイラード/肉	1.0
Class	氷砂糖	砂糖及び甘味類	1.0
Class	葡萄	果実類	1.0
Flavor	葡萄	フルーティ	1.0
Class	粉末ミルク	乳類/牛乳及び乳製品	1.0
Class	米飯	穀類	1.0
Flavor	米飯	穀物	1.0
Class	米粉	穀類	1.0
Flavor	米粉	穀物	1.0
Class	片栗粉	いも及びでん粉類/でん粉・でん粉製品	1.0
Class	蜂蜜	砂糖及び甘味類	1.0
Flavor	蜂蜜	フローラル	1.0
Class	麻婆豆腐の素	調味料及び香辛料類/調味料類	1.0
Class	抹茶	嗜好飲料類/茶類	1.0
Class	味の素	調味料及び香辛料類/調味料類	1.0
Class	味噌	豆類	1.0
Flavor	味噌	うま味	1.0
Taste	味噌	うま味/グルタミン酸	1.0
Class	無花果	果実類	1.0
Flavor	無花果	フルーティ/木に実る果実	1.0
Class	餅	穀類	1.0
Flavor	餅	穀物	1.0
Class	野沢菜	野菜類	1.0
Class	油	油脂類	1.0
Class	油揚げ	豆類	1.0
Class	洋梨	果実類	1.0
Class	落花生	種実類	1.0
Class	卵	卵類	1.0
Flavor	卵	硫黄	1.0
Taste	卵	うま味/グルタミン酸	1.0
Class	梨	果実類	1.0
Class	里芋	いも及びでん粉類/いも類	1.0
Class	練乳	乳類/牛乳及び乳製品	1.0
Class	茗荷	野菜類	1.0
Class	餃子の皮	穀類	1.0
Class	餡子	豆類	1.0
Flavor	鰆	マリーン	1.0
Class	鰆	魚介類/魚類	1.0
Taste	鰆	うま味/グルタミン酸	1.0
Taste	鰆	うま味/イノシン酸	1.0
Class	麩	穀類	0.5
Taste	だし	うま味	1.0
Taste	だし	淡い	0.5
Taste	みりん	中間	1.0
Taste	めんつゆ	中間	0.5
Taste	ウスターソース	濃い	1.0
Taste	オイスターソース	濃い	1.0
Taste	カラメル	中間	0.5
Flavor	カラメル	メイラード/カラメル	0.5
Taste	カレー粉	濃い	1.0
Taste	ケチャップ	中間	1.0
Taste	ココア	中間	0.5
Taste	コショウ	濃い	1.0
Flavor	コショウ	刺激	0.9
Taste	コーヒー豆	濃い	0.5
Taste	サルサソース	濃い	0.5
Taste	サルサソース	酸味	0.5
Taste	シナモン	濃い	0.5
Taste	タレ	濃い	0.5
Taste	ナツメグ	濃い	1.0
Taste	ナツメグ	香辛料	1.0
Taste	バニラ	中間	0.5
Taste	パセリ	中間	0.5
Taste	ブイヨン	中間	0.5
Taste	ポン酢	淡い	1.0
Flavor	ポン酢	フルーティ/シトラス	0.5
Taste	ポン酢	酸味	0.5
Taste	マスタード	濃い	1.0
Flavor	マスタード	刺激	1.0
Taste	マヨネーズ	中間	1.0
Taste	ラム酒	中間	0.5
Flavor	ラム酒	アルコール	0.5
Taste	ラー油	濃い	0.5
Flavor	ラー油	刺激	0.5
Taste	レモン汁	淡い	1.0
Taste	ローリエ	中間	0.5
Flavor	ローリエ	ベジタル/ハーブ	0.5
Taste	ワイン	濃い	0.5
Flavor	ワイン	アルコール	0.5
Taste	ワイン	酸味	0.5
Taste	ワサビ	濃い	0.5
Flavor	ワサビ	刺激	0.5
Taste	八角	濃い	0.5
Taste	味の素	中間	0.5
Taste	味噌	濃い	1.0
Flavor	味噌	旨味	1.0
Flavor	味噌	麹	0.7
Taste	塩麹	中間	0.5
Flavor	塩麹	麹	0.9
Taste	山椒	濃い	0.5
Flavor	山椒	刺激	0.5
Taste	抹茶	中間	0.5
Taste	氷砂糖	中間	0.5
Taste	油	中間	0.5
Taste	砂糖	中間	1.0
Taste	粉末ミルク	淡い	0.5
Taste	紅茶	中間	0.5
Taste	花椒	濃い	0.5
Taste	蜂蜜	中間	0.5
Taste	酒	中間	0.5
Taste	酢	酸味	1.0
Taste	酢	淡い	1.0
Taste	醤油	濃い	1.0
Flavor	醤油	旨味	1.0
Taste	食塩	淡い	1.0
Taste	鶏がらスープの素	淡い	0.5
Taste	甘酒	中間	0.5
Flavor	甘酒	麹	0.5
